"athletes","gender","iso3","sport","country"
"AMAN Mohammed","Men","ETH","athletics","Ethiopia"
"AMANKWAH Alex","Men","GHA","athletics","Ghana"
"AMARE Hailemariyam","Men","ETH","athletics","Ethiopia"
"AMARJIT SINGH Nauraj Singh Randhawa","Men","MAS","athletics","Malaysia"
"AMATA Doreen","Women","NGR","athletics","Nigeria"
"AMB Kim","Men","SWE","athletics","Sweden"
"AMERTIL Christine","Women","BAH","athletics","Bahamas"
"AMLOSOM Nguse","Men","ERI","athletics","Eritrea"
"AMORES Edel","Men","CUB","athletics","Cuba"
"AMOS Nijel","Men","BOT","athletics","Botswana"
"AMOTUN Paulo","Men","ROT","athletics","Refugee Olympic Team"
"AMPOMAH John","Men","GHA","athletics","Ghana"
"AMPONSAH Janet","Women","GHA","athletics","Ghana"
"AMUSAN Oluwatobiloba","Women","NGR","athletics","Nigeria"
"AN Seulki","Women","KOR","athletics","Korea, Republic of"
"ANACHARSIS Phara","Women","FRA","athletics","France"
"ANAGNOSTOPOULOU Chrysoula","Women","GRE","athletics","Greece"
"ANASTASAKIS Michail","Men","GRE","athletics","Greece"
"ANDRADE Jordin","Men","CPV","athletics","Cabo Verde"
"ANDRAUD Mathilde","Women","FRA","athletics","France"
"ANDRE Thiago","Men","BRA","athletics","Brazil"
"ANDREEV Leonid","Men","UZB","athletics","Uzbekistan"
"ANDREEVA Iuliia","Women","KGZ","athletics","Kyrgyzstan"
"ANDREJCZYK Maria","Women","POL","athletics","Poland"
"ANDREWS Jess","Women","GBR","athletics","United Kingdom"
"ANDREWS Robby","Men","USA","athletics","United States"
"ANDUJAR Daniel","Men","ESP","athletics","Spain"
"ANDUJAR Youndry","Men","DOM","athletics","Dominican Republic"
"ANGELSEN Tonje","Women","NOR","athletics","Norway"
"ANKIEWICZ Emilia","Women","POL","athletics","Poland"
